Date,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Target
2024-06-28,60320.13671875,61604.80078125,60811.27734375,61804.640625,60277.4140625,63180.796875,64252.578125,64096.19921875,60320.13671875
2024-06-29,60887.37890625,60320.13671875,61604.80078125,60811.27734375,61804.640625,60277.4140625,63180.796875,64252.578125,60887.37890625
2024-06-30,62678.29296875,60887.37890625,60320.13671875,61604.80078125,60811.27734375,61804.640625,60277.4140625,63180.796875,62678.29296875
2024-07-01,62851.98046875,62678.29296875,60887.37890625,60320.13671875,61604.80078125,60811.27734375,61804.640625,60277.4140625,62851.98046875
2024-07-02,62029.015625,62851.98046875,62678.29296875,60887.37890625,60320.13671875,61604.80078125,60811.27734375,61804.640625,62029.015625
2024-07-03,60173.921875,62029.015625,62851.98046875,62678.29296875,60887.37890625,60320.13671875,61604.80078125,60811.27734375,60173.921875
2024-07-04,56977.703125,60173.921875,62029.015625,62851.98046875,62678.29296875,60887.37890625,60320.13671875,61604.80078125,56977.703125
2024-07-05,56662.375,56977.703125,60173.921875,62029.015625,62851.98046875,62678.29296875,60887.37890625,60320.13671875,56662.375
2024-07-06,58303.5390625,56662.375,56977.703125,60173.921875,62029.015625,62851.98046875,62678.29296875,60887.37890625,58303.5390625
2024-07-07,55849.109375,58303.5390625,56662.375,56977.703125,60173.921875,62029.015625,62851.98046875,62678.29296875,55849.109375
2024-07-08,56705.09765625,55849.109375,58303.5390625,56662.375,56977.703125,60173.921875,62029.015625,62851.98046875,56705.09765625
2024-07-09,58009.2265625,56705.09765625,55849.109375,58303.5390625,56662.375,56977.703125,60173.921875,62029.015625,58009.2265625
2024-07-10,57742.49609375,58009.2265625,56705.09765625,55849.109375,58303.5390625,56662.375,56977.703125,60173.921875,57742.49609375
2024-07-11,57344.9140625,57742.49609375,58009.2265625,56705.09765625,55849.109375,58303.5390625,56662.375,56977.703125,57344.9140625
2024-07-12,57899.46484375,57344.9140625,57742.49609375,58009.2265625,56705.09765625,55849.109375,58303.5390625,56662.375,57899.46484375
2024-07-13,59231.953125,57899.46484375,57344.9140625,57742.49609375,58009.2265625,56705.09765625,55849.109375,58303.5390625,59231.953125
2024-07-14,60787.79296875,59231.953125,57899.46484375,57344.9140625,57742.49609375,58009.2265625,56705.09765625,55849.109375,60787.79296875
2024-07-15,64870.15234375,60787.79296875,59231.953125,57899.46484375,57344.9140625,57742.49609375,58009.2265625,56705.09765625,64870.15234375
2024-07-16,65097.1484375,64870.15234375,60787.79296875,59231.953125,57899.46484375,57344.9140625,57742.49609375,58009.2265625,65097.1484375
2024-07-17,64118.79296875,65097.1484375,64870.15234375,60787.79296875,59231.953125,57899.46484375,57344.9140625,57742.49609375,64118.79296875
2024-07-18,63974.06640625,64118.79296875,65097.1484375,64870.15234375,60787.79296875,59231.953125,57899.46484375,57344.9140625,63974.06640625
2024-07-19,66710.15625,63974.06640625,64118.79296875,65097.1484375,64870.15234375,60787.79296875,59231.953125,57899.46484375,66710.15625
2024-07-20,67163.6484375,66710.15625,63974.06640625,64118.79296875,65097.1484375,64870.15234375,60787.79296875,59231.953125,67163.6484375
2024-07-21,68154.5234375,67163.6484375,66710.15625,63974.06640625,64118.79296875,65097.1484375,64870.15234375,60787.79296875,68154.5234375
2024-07-22,67585.25,68154.5234375,67163.6484375,66710.15625,63974.06640625,64118.79296875,65097.1484375,64870.15234375,67585.25
2024-07-23,65927.671875,67585.25,68154.5234375,67163.6484375,66710.15625,63974.06640625,64118.79296875,65097.1484375,65927.671875
2024-07-24,65372.1328125,65927.671875,67585.25,68154.5234375,67163.6484375,66710.15625,63974.06640625,64118.79296875,65372.1328125
2024-07-25,65777.2265625,65372.1328125,65927.671875,67585.25,68154.5234375,67163.6484375,66710.15625,63974.06640625,65777.2265625
2024-07-26,67912.0625,65777.2265625,65372.1328125,65927.671875,67585.25,68154.5234375,67163.6484375,66710.15625,67912.0625
2024-07-27,67813.3359375,67912.0625,65777.2265625,65372.1328125,65927.671875,67585.25,68154.5234375,67163.6484375,67813.3359375
2024-07-28,68255.8671875,67813.3359375,67912.0625,65777.2265625,65372.1328125,65927.671875,67585.25,68154.5234375,68255.8671875
2024-07-29,66819.9140625,68255.8671875,67813.3359375,67912.0625,65777.2265625,65372.1328125,65927.671875,67585.25,66819.9140625
2024-07-30,66201.015625,66819.9140625,68255.8671875,67813.3359375,67912.0625,65777.2265625,65372.1328125,65927.671875,66201.015625
2024-07-31,64619.25,66201.015625,66819.9140625,68255.8671875,67813.3359375,67912.0625,65777.2265625,65372.1328125,64619.25
2024-08-01,65357.5,64619.25,66201.015625,66819.9140625,68255.8671875,67813.3359375,67912.0625,65777.2265625,65357.5
2024-08-02,61415.06640625,65357.5,64619.25,66201.015625,66819.9140625,68255.8671875,67813.3359375,67912.0625,61415.06640625
2024-08-03,60680.09375,61415.06640625,65357.5,64619.25,66201.015625,66819.9140625,68255.8671875,67813.3359375,60680.09375
2024-08-04,58116.9765625,60680.09375,61415.06640625,65357.5,64619.25,66201.015625,66819.9140625,68255.8671875,58116.9765625
2024-08-05,53991.45703125,58116.9765625,60680.09375,61415.06640625,65357.5,64619.25,66201.015625,66819.9140625,53991.45703125
2024-08-06,56034.31640625,53991.45703125,58116.9765625,60680.09375,61415.06640625,65357.5,64619.25,66201.015625,56034.31640625
2024-08-07,55027.4609375,56034.31640625,53991.45703125,58116.9765625,60680.09375,61415.06640625,65357.5,64619.25,55027.4609375
2024-08-08,61710.13671875,55027.4609375,56034.31640625,53991.45703125,58116.9765625,60680.09375,61415.06640625,65357.5,61710.13671875
2024-08-09,60880.11328125,61710.13671875,55027.4609375,56034.31640625,53991.45703125,58116.9765625,60680.09375,61415.06640625,60880.11328125
2024-08-10,60945.8125,60880.11328125,61710.13671875,55027.4609375,56034.31640625,53991.45703125,58116.9765625,60680.09375,60945.8125
2024-08-11,58719.484375,60945.8125,60880.11328125,61710.13671875,55027.4609375,56034.31640625,53991.45703125,58116.9765625,58719.484375
